abbr,date/time,temperature (degrees celsius),pressure (hpa),humidity (%),dew point (degrees celsius),wind direction (degree),wind speed (knots),wind speed (kmh),cloud amount (octas),altitude (metres)
KLO,2.0121E+11,,,,,,,,8,
KLO,2.0121E+11,,,,,,,,8,30000
KLO,2.0121E+11,15.2,1018.1,75.2,10.8,63,1,1.1,7,
KLO,2.0121E+11,,,,,,,,7,
KLO,2.0121E+11,,,,,,,,7,30000
KLO,2.0121E+11,,,,,,,,7,
KLO,2.0121E+11,,,,,,,,7,
KLO,2.0121E+11,,,,,,,,7,30000
KLO,2.0121E+11,14.2,1018.6,79.9,10.8,90,2,3.6,7,
KLO,2.0121E+11,,,,,,,,7,
KLO,2.0121E+11,,,,,,,,7,30000
KLO,2.0121E+11,,,,,,,,7,
KLO,2.0121E+11,,,,,,,,7,
KLO,2.0121E+11,,,,,,,,7,30000
KLO,2.0121E+11,13.8,1019.1,85.8,11.4,135,1,1.8,8,
KLO,2.0121E+11,,,,,,,,8,
KLO,2.0121E+11,,,,,,,,8,30000
KLO,2.0121E+11,,,,,,,,8,
KLO,2.0121E+11,,,,,,,,8,
KLO,2.0121E+11,,,,,,,,8,25000
KLO,2.0121E+11,13.7,1019.5,88.7,11.9,135,1,1.8,8,
KLO,2.0121E+11,,,,,,,,8,
KLO,2.0121E+11,,,,,,,,7,25000
KLO,2.0121E+11,,,,,,,,7,
KLO,2.0121E+11,,,,,,,,7,
KLO,2.0121E+11,,,,,,,,7,25000
KLO,2.0121E+11,13.4,1020,88.8,11.6,293,2,2.9,7,
KLO,2.0121E+11,,,,,,,,7,
KLO,2.0121E+11,,,,,,,,6,25000
KLO,2.0121E+11,,,,,,,,6,
KLO,2.0121E+11,,,,,,,,6,
KLO,2.0121E+11,,,,,,,,6,20000
KLO,2.0121E+11,13,1020.3,88.6,11.1,322,2,4,6,
KLO,2.0121E+11,,,,,,,,6,
KLO,2.0121E+11,,,,,,,,6,20000
KLO,2.0121E+11,,,,,,,,6,
KLO,2.0121E+11,,,,,,,,6,
KLO,2.0121E+11,,,,,,,,6,20000
KLO,2.0121E+11,12.6,1020.5,91.1,11.2,27,1,1.8,6,
KLO,2.0121E+11,,,,,,,,6,
KLO,2.0121E+11,,,,,,,,6,20000
KLO,2.0121E+11,,,,,,,,6,
KLO,2.0121E+11,,,,,,,,7,
KLO,2.0121E+11,,,,,,,,7,20000
KLO,2.0121E+11,12.3,1020.4,91.8,11,225,1,1.4,6,
KLO,2.0121E+11,,,,,,,,6,
KLO,2.0121E+11,,,,,,,,6,
KLO,2.0121E+11,,,,,,,,6,
KLO,2.0121E+11,,,,,,,,6,
KLO,2.0121E+11,,,,,,,,6,20000
KLO,2.0121E+11,11.8,1020.5,92,10.5,310,2,2.9,6,
KLO,2.0121E+11,,,,,,,,4,
KLO,2.0121E+11,,,,,,,,6,18000
KLO,2.0121E+11,,,,,,,,6,
KLO,2.0121E+11,,,,,,,,6,
KLO,2.0121E+11,,,,,,,,6,15000
KLO,2.0121E+11,11.7,1020.4,91.6,10.4,76,1,2.5,6,
KLO,2.0121E+11,,,,,,,,7,
KLO,2.0121E+11,,,,,,,,7,20000
KLO,2.0121E+11,,,,,,,,7,
KLO,2.0121E+11,,,,,,,,7,
KLO,2.0121E+11,,,,,,,,7,20000
KLO,2.0121E+11,11.5,1020.5,90.5,10,113,2,2.9,7,
KLO,2.0121E+11,,,,,,,,7,
KLO,2.0121E+11,,,,,,,,8,20000
KLO,2.0121E+11,,,,,,,,8,
KLO,2.0121E+11,,,,,,,,8,
KLO,2.0121E+11,,,,,,,,8,20000
KLO,2.0121E+11,11.4,1020.6,90.8,9.9,330,2,3.2,8,
KLO,2.0121E+11,,,,,,,,8,
KLO,2.0121E+11,,,,,,,,8,20000
KLO,2.0121E+11,,,,,,,,7,
KLO,2.0121E+11,,,,,,,,7,
KLO,2.0121E+11,,,,,,,,7,20000
KLO,2.0121E+11,11.2,1020.9,91.3,9.8,286,2,2.9,7,
KLO,2.0121E+11,,,,,,,,7,
KLO,2.0121E+11,,,,,,,,4,20000
KLO,2.0121E+11,,,,,,,,6,
KLO,2.0121E+11,,,,,,,,6,
KLO,2.0121E+11,,,,,,,,6,17000
KLO,2.0121E+11,10.7,1021.3,92.1,9.4,315,2,4.3,6,
KLO,2.0121E+11,,,,,,,,3,
KLO,2.0121E+11,,,,,,,,2,17000
KLO,2.0121E+11,,,,,,,,2,
KLO,2.0121E+11,,,,,,,,2,
KLO,2.0121E+11,,,,,,,,3,9000
KLO,2.0121E+11,10,1021.6,91.9,8.8,306,3,5,2,
KLO,2.0121E+11,,,,,,,,2,
KLO,2.0121E+11,,,,,,,,2,9000
KLO,2.0121E+11,,,,,,,,2,
KLO,2.0121E+11,,,,,,,,1,
KLO,2.0121E+11,,,,,,,,1,18000
KLO,2.0121E+11,11.3,1021.4,87.8,9.4,329,1,2.2,1,
KLO,2.0121E+11,,,,,,,,1,
KLO,2.0121E+11,,,,,,,,1,23000
KLO,2.0121E+11,,,,,,,,0,
KLO,2.0121E+11,,,,,,,,1,
KLO,2.0121E+11,,,,,,,,3,25000
KLO,2.0121E+11,13.6,1021.1,73.6,8.9,153,1,2.5,3,
KLO,2.0121E+11,,,,,,,,4,
KLO,2.0121E+11,,,,,,,,4,30000
KLO,2.0121E+11,,,,,,,,5,
KLO,2.0121E+11,,,,,,,,5,
KLO,2.0121E+11,,,,,,,,5,30000
KLO,2.0121E+11,15.2,1020.6,58.9,7.2,223,5,8.6,8,
KLO,2.0121E+11,,,,,,,,8,
KLO,2.0121E+11,,,,,,,,8,30000
KLO,2.0121E+11,,,,,,,,7,
KLO,2.0121E+11,,,,,,,,7,
KLO,2.0121E+11,,,,,,,,6,30000
KLO,2.0121E+11,15.4,1020.4,58.9,7.4,263,3,6.5,4,
KLO,2.0121E+11,,,,,,,,3,
KLO,2.0121E+11,,,,,,,,3,30000
KLO,2.0121E+11,,,,,,,,3,
KLO,2.0121E+11,,,,,,,,3,
KLO,2.0121E+11,,,,,,,,3,30000
KLO,2.0121E+11,16.5,1019.6,55.1,7.5,214,3,4.7,2,
KLO,2.0121E+11,,,,,,,,2,
KLO,2.0121E+11,,,,,,,,1,35000
KLO,2.0121E+11,,,,,,,,1,
KLO,2.0121E+11,,,,,,,,1,
KLO,2.0121E+11,,,,,,,,2,35000
KLO,2.0121E+11,17.4,1018.9,55.1,8.3,233,3,5.8,2,
KLO,2.0121E+11,,,,,,,,2,
KLO,2.0121E+11,,,,,,,,1,35000
KLO,2.0121E+11,,,,,,,,2,
KLO,2.0121E+11,,,,,,,,1,
KLO,2.0121E+11,,,,,,,,1,35000
KLO,2.0121E+11,17.9,1018.4,54.5,8.6,239,4,7.6,1,
KLO,2.0121E+11,,,,,,,,1,
KLO,2.0121E+11,,,,,,,,1,35000
KLO,2.0121E+11,,,,,,,,1,
KLO,2.0121E+11,,,,,,,,1,
KLO,2.0121E+11,,,,,,,,1,35000
KLO,2.0121E+11,18.1,1018.2,51.7,8.1,260,5,8.6,1,
KLO,2.0121E+11,,,,,,,,1,
KLO,2.0121E+11,,,,,,,,1,35000
KLO,2.0121E+11,,,,,,,,0,
KLO,2.0121E+11,,,,,,,,0,
KLO,2.0121E+11,,,,,,,,0,35000
KLO,2.0121E+11,17.8,1018.1,53.3,8.2,236,3,5.4,0,
KLO,2.0121E+11,,,,,,,,0,
KLO,2.0121E+11,,,,,,,,0,35000
KLO,2.0121E+11,,,,,,,,0,
KLO,2.0121E+11,,,,,,,,0,
KLO,2.0121E+11,,,,,,,,0,35000
KLO,2.0121E+11,16.4,1018.3,58.9,8.3,246,2,3.6,0,
KLO,2.0121E+11,,,,,,,,1,
KLO,2.0121E+11,,,,,,,,1,35000
KLO,2.0121E+11,,,,,,,,1,
KLO,2.0121E+11,,,,,,,,1,
KLO,2.0121E+11,,,,,,,,1,30000
KLO,2.0121E+11,13.9,1018.9,71.4,8.8,284,2,3.2,1,
KLO,2.0121E+11,,,,,,,,1,
KLO,2.0121E+11,,,,,,,,1,25000
KLO,2.0121E+11,,,,,,,,1,
KLO,2.0121E+11,,,,,,,,1,
KLO,2.0121E+11,,,,,,,,1,25000
KLO,2.0121E+11,11.4,1019.6,86.3,9.2,108,1,1.8,1,
KLO,2.0121E+11,,,,,,,,1,
KLO,2.0121E+11,,,,,,,,1,25000
KLO,2.0121E+11,,,,,,,,1,
KLO,2.0121E+11,,,,,,,,1,
KLO,2.0121E+11,,,,,,,,1,25000
KLO,2.0121E+11,10.3,1020.2,89.2,8.6,122,2,3.6,1,
KLO,2.0121E+11,,,,,,,,1,
KLO,2.0121E+11,,,,,,,,1,20000
KLO,2.0121E+11,,,,,,,,1,
KLO,2.0121E+11,,,,,,,,1,
KLO,2.0121E+11,,,,,,,,1,20000
KLO,2.0121E+11,10,1020.5,89.7,8.4,142,3,5.8,0,
KLO,2.0121E+11,,,,,,,,0,
KLO,2.0121E+11,,,,,,,,0,20000
KLO,2.0121E+11,,,,,,,,0,
KLO,2.0121E+11,,,,,,,,0,
KLO,2.0121E+11,,,,,,,,0,15000
KLO,2.0121E+11,9.8,1020.6,91.5,8.5,152,3,5,1,
KLO,2.0121E+11,,,,,,,,0,
KLO,2.0121E+11,,,,,,,,0,15000
KLO,2.0121E+11,,,,,,,,1,
KLO,2.0121E+11,,,,,,,,1,
KLO,2.0121E+11,,,,,,,,4,15000
KLO,2.0121E+11,9,1020.8,91.9,7.8,160,3,4.7,4,
KLO,2.0121E+11,,,,,,,,4,
KLO,2.0121E+11,,,,,,,,3,15000
KLO,2.0121E+11,,,,,,,,3,
KLO,2.0121E+11,,,,,,,,3,
KLO,2.0121E+11,,,,,,,,2,12000
KLO,2.0121E+11,8.7,1020.8,92.8,7.6,169,1,2.2,2,
KLO,2.0121E+11,,,,,,,,1,
KLO,2.0121E+11,,,,,,,,2,
KLO,2.0121E+11,,,,,,,,1,
KLO,2.0121E+11,,,,,,,,1,
KLO,2.0121E+11,,,,,,,,1,10000
KLO,2.0121E+11,8,1020.7,93.5,7,167,2,3.2,1,
KLO,2.0121E+11,,,,,,,,1,
KLO,2.0121E+11,,,,,,,,4,8000
KLO,2.0121E+11,,,,,,,,7,
KLO,2.0121E+11,,,,,,,,7,
KLO,2.0121E+11,,,,,,,,7,8000
KLO,2.0121E+11,8.3,1020.4,92.5,7.1,160,3,5.8,7,
KLO,2.0121E+11,,,,,,,,6,
KLO,2.0121E+11,,,,,,,,4,10000
KLO,2.0121E+11,,,,,,,,4,
KLO,2.0121E+11,,,,,,,,6,
KLO,2.0121E+11,,,,,,,,6,10000
KLO,2.0121E+11,8.7,1020.3,91.8,7.4,119,3,5,7,
KLO,2.0121E+11,,,,,,,,6,
KLO,2.0121E+11,,,,,,,,4,12000
KLO,2.0121E+11,,,,,,,,4,
KLO,2.0121E+11,,,,,,,,6,
KLO,2.0121E+11,,,,,,,,3,12000
KLO,2.0121E+11,9.1,1019.8,92.7,8,157,4,7.6,3,
KLO,2.0121E+11,,,,,,,,3,
KLO,2.0121E+11,,,,,,,,4,10000
KLO,2.0121E+11,,,,,,,,6,
KLO,2.0121E+11,,,,,,,,5,
KLO,2.0121E+11,,,,,,,,5,10000
KLO,2.0121E+11,8.6,1019.6,92.9,7.5,144,2,4,5,
KLO,2.0121E+11,,,,,,,,5,
KLO,2.0121E+11,,,,,,,,6,12000
KLO,2.0121E+11,,,,,,,,4,
KLO,2.0121E+11,,,,,,,,4,
KLO,2.0121E+11,,,,,,,,6,12000
KLO,2.0121E+11,7.7,1019.7,92.3,6.6,360,2,3.2,6,
KLO,2.0121E+11,,,,,,,,4,
KLO,2.0121E+11,,,,,,,,6,12000
KLO,2.0121E+11,,,,,,,,6,
KLO,2.0121E+11,,,,,,,,6,
KLO,2.0121E+11,,,,,,,,6,15000
KLO,2.0121E+11,8.7,1019.6,92.1,7.5,315,3,4.7,4,
KLO,2.0121E+11,,,,,,,,6,
KLO,2.0121E+11,,,,,,,,6,15000
KLO,2.0121E+11,,,,,,,,4,
KLO,2.0121E+11,,,,,,,,6,
KLO,2.0121E+11,,,,,,,,6,15000
KLO,2.0121E+11,10.5,1019.4,89.5,8.9,311,2,4,6,
KLO,2.0121E+11,,,,,,,,6,
KLO,2.0121E+11,,,,,,,,6,15000
KLO,2.0121E+11,,,,,,,,6,
KLO,2.0121E+11,,,,,,,,4,
KLO,2.0121E+11,,,,,,,,4,18000
KLO,2.0121E+11,13,1019.2,85.1,10.5,315,2,4.3,6,
KLO,2.0121E+11,,,,,,,,6,
KLO,2.0121E+11,,,,,,,,7,20000
KLO,2.0121E+11,,,,,,,,7,
KLO,2.0121E+11,,,,,,,,7,
KLO,2.0121E+11,,,,,,,,6,20000
KLO,2.0121E+11,15.1,1019,72.3,10.2,241,6,11.2,6,
KLO,2.0121E+11,,,,,,,,6,
KLO,2.0121E+11,,,,,,,,6,25000
KLO,2.0121E+11,,,,,,,,6,
KLO,2.0121E+11,,,,,,,,7,
KLO,2.0121E+11,,,,,,,,7,25000
KLO,2.0121E+11,16.1,1018.7,66.4,9.9,240,6,10.8,7,
KLO,2.0121E+11,,,,,,,,6,
KLO,2.0121E+11,,,,,,,,6,25000
KLO,2.0121E+11,,,,,,,,6,
KLO,2.0121E+11,,,,,,,,6,
KLO,2.0121E+11,,,,,,,,3,30000
KLO,2.0121E+11,17.6,1017.9,63.6,10.6,234,8,14,4,
KLO,2.0121E+11,,,,,,,,4,
KLO,2.0121E+11,,,,,,,,4,30000
KLO,2.0121E+11,,,,,,,,3,
KLO,2.0121E+11,,,,,,,,3,
KLO,2.0121E+11,,,,,,,,3,35000
KLO,2.0121E+11,18,1017.2,60.4,10.2,245,8,15.1,3,
KLO,2.0121E+11,,,,,,,,4,
KLO,2.0121E+11,,,,,,,,6,35000
KLO,2.0121E+11,,,,,,,,7,
KLO,2.0121E+11,,,,,,,,7,
KLO,2.0121E+11,,,,,,,,7,35000
KLO,2.0121E+11,17.6,1017.1,62.8,10.5,282,6,11.9,6,
KLO,2.0121E+11,,,,,,,,6,
KLO,2.0121E+11,,,,,,,,4,35000
KLO,2.0121E+11,,,,,,,,4,
KLO,2.0121E+11,,,,,,,,4,
KLO,2.0121E+11,,,,,,,,4,40000
KLO,2.0121E+11,16.8,1016.9,69,11.1,308,6,10.4,3,
KLO,2.0121E+11,,,,,,,,1,
KLO,2.0121E+11,,,,,,,,2,40000
KLO,2.0121E+11,,,,,,,,4,
KLO,2.0121E+11,,,,,,,,4,
KLO,2.0121E+11,,,,,,,,2,40000
KLO,2.0121E+11,15.8,1016.9,72.9,11,315,6,10.4,2,
KLO,2.0121E+11,,,,,,,,2,
KLO,2.0121E+11,,,,,,,,2,40000
KLO,2.0121E+11,,,,,,,,2,
KLO,2.0121E+11,,,,,,,,2,
KLO,2.0121E+11,,,,,,,,2,35000
KLO,2.0121E+11,14.9,1017,75.7,10.6,360,3,6.1,2,
KLO,2.0121E+11,,,,,,,,6,
KLO,2.0121E+11,,,,,,,,5,35000
KLO,2.0121E+11,,,,,,,,6,
KLO,2.0121E+11,,,,,,,,4,
KLO,2.0121E+11,,,,,,,,4,35000
KLO,2.0121E+11,13.3,1017.6,82.1,10.3,284,2,3.2,4,
KLO,2.0121E+11,,,,,,,,3,
KLO,2.0121E+11,,,,,,,,2,35000
KLO,2.0121E+11,,,,,,,,4,
KLO,2.0121E+11,,,,,,,,4,
KLO,2.0121E+11,,,,,,,,4,30000
KLO,2.0121E+11,12.1,1018,89.2,10.4,135,3,5.8,4,
KLO,2.0121E+11,,,,,,,,4,
KLO,2.0121E+11,,,,,,,,3,25000
KLO,2.0121E+11,,,,,,,,2,
KLO,2.0121E+11,,,,,,,,4,
KLO,2.0121E+11,,,,,,,,6,25000
KLO,2.0121E+11,12,1018,88.6,10.1,146,4,8.3,6,
KLO,2.0121E+11,,,,,,,,7,
KLO,2.0121E+11,,,,,,,,7,20000
KLO,2.0121E+11,,,,,,,,6,
KLO,2.0121E+11,,,,,,,,6,
KLO,2.0121E+11,,,,,,,,7,20000
KLO,2.0121E+11,13,1017.4,87.8,11,149,6,11.2,4,
KLO,2.0121E+11,,,,,,,,4,
KLO,2.0121E+11,,,,,,,,6,20000
KLO,2.0121E+11,,,,,,,,6,
KLO,2.0121E+11,,,,,,,,7,
KLO,2.0121E+11,,,,,,,,7,20000
KLO,2.0121E+11,12.4,1017.3,87.9,10.5,151,5,9.4,8,
KLO,2.0121E+11,,,,,,,,8,
KLO,2.0121E+11,,,,,,,,8,20000
KLO,2.0121E+11,,,,,,,,7,
KLO,2.0121E+11,,,,,,,,4,
KLO,2.0121E+11,,,,,,,,4,20000
KLO,2.0121E+11,12.7,1016.9,88.3,10.9,153,5,9.4,6,
KLO,2.0121E+11,,,,,,,,6,
KLO,2.0121E+11,,,,,,,,6,20000
KLO,2.0121E+11,,,,,,,,7,
KLO,2.0121E+11,,,,,,,,6,
KLO,2.0121E+11,,,,,,,,6,15000
KLO,2.0121E+11,13,1016.5,87.9,11.1,138,5,9.4,7,
KLO,2.0121E+11,,,,,,,,6,
KLO,2.0121E+11,,,,,,,,6,
KLO,2.0121E+11,,,,,,,,7,
KLO,2.0121E+11,,,,,,,,7,
KLO,2.0121E+11,,,,,,,,6,15000
KLO,2.0121E+11,13.3,1016.2,86,11.1,120,3,5.8,7,
KLO,2.0121E+11,,,,,,,,7,
KLO,2.0121E+11,,,,,,,,7,15000
KLO,2.0121E+11,,,,,,,,7,
KLO,2.0121E+11,,,,,,,,7,
KLO,2.0121E+11,,,,,,,,8,15000
KLO,2.0121E+11,12.9,1016.1,89.6,11.3,139,3,4.7,7,
KLO,2.0121E+11,,,,,,,,7,
KLO,2.0121E+11,,,,,,,,8,20000
KLO,2.0121E+11,,,,,,,,7,
KLO,2.0121E+11,,,,,,,,7,
KLO,2.0121E+11,,,,,,,,7,20000
KLO,2.0121E+11,13,1015.8,91.1,11.6,174,3,5.4,7,
KLO,2.0121E+11,,,,,,,,7,
KLO,2.0121E+11,,,,,,,,7,20000
KLO,2.0121E+11,,,,,,,,6,
KLO,2.0121E+11,,,,,,,,6,
KLO,2.0121E+11,,,,,,,,3,15000
KLO,2.0121E+11,12.6,1015.2,92.2,11.3,164,3,6.5,6,
KLO,2.0121E+11,,,,,,,,6,
KLO,2.0121E+11,,,,,,,,6,15000
KLO,2.0121E+11,,,,,,,,6,
KLO,2.0121E+11,,,,,,,,6,
KLO,2.0121E+11,,,,,,,,6,15000
KLO,2.0121E+11,12.3,1014.8,91.6,11,170,3,6.1,6,
KLO,2.0121E+11,,,,,,,,3,
KLO,2.0121E+11,,,,,,,,3,15000
KLO,2.0121E+11,,,,,,,,4,
KLO,2.0121E+11,,,,,,,,6,
KLO,2.0121E+11,,,,,,,,4,20000
KLO,2.0121E+11,12.1,1014.7,90,10.5,183,4,6.8,4,
KLO,2.0121E+11,,,,,,,,3,
KLO,2.0121E+11,,,,,,,,3,20000
KLO,2.0121E+11,,,,,,,,6,
KLO,2.0121E+11,,,,,,,,6,
KLO,2.0121E+11,,,,,,,,6,20000
KLO,2.0121E+11,13.6,1014.4,87.1,11.5,208,3,5.8,6,
KLO,2.0121E+11,,,,,,,,6,
KLO,2.0121E+11,,,,,,,,7,20000
KLO,2.0121E+11,,,,,,,,7,
KLO,2.0121E+11,,,,,,,,7,
KLO,2.0121E+11,,,,,,,,7,30000
KLO,2.0121E+11,14.1,1014.1,84.5,11.6,170,3,6.5,8,
KLO,2.0121E+11,,,,,,,,8,
KLO,2.0121E+11,,,,,,,,8,35000
KLO,2.0121E+11,,,,,,,,7,
KLO,2.0121E+11,,,,,,,,7,
KLO,2.0121E+11,,,,,,,,7,30000
KLO,2.0121E+11,15.7,1013.6,73.8,11,169,4,7.6,7,
KLO,2.0121E+11,,,,,,,,7,
KLO,2.0121E+11,,,,,,,,7,30000
KLO,2.0121E+11,,,,,,,,7,
KLO,2.0121E+11,,,,,,,,8,
KLO,2.0121E+11,,,,,,,,7,30000
KLO,2.0121E+11,15.8,1013.8,70,10.3,242,8,14.4,,
KLO,2.0121E+11,,,,,,,,8,
KLO,2.0121E+11,,,,,,,,,20000
KLO,2.0121E+11,,,,,,,,,
KLO,2.0121E+11,,,,,,,,,
KLO,2.0121E+11,,,,,,,,,25000
KLO,2.0121E+11,16.1,1013.8,67.6,10.1,248,9,16.9,,
KLO,2.0121E+11,,,,,,,,,
KLO,2.0121E+11,,,,,,,,,25000
KLO,2.0121E+11,,,,,,,,,
KLO,2.0121E+11,,,,,,,,7,
KLO,2.0121E+11,,,,,,,,8,25000
KLO,2.0121E+11,16.4,1014.1,67.4,10.3,255,8,15.1,8,
KLO,2.0121E+11,,,,,,,,8,
KLO,2.0121E+11,,,,,,,,8,25000
KLO,2.0121E+11,,,,,,,,8,
KLO,2.0121E+11,,,,,,,,,
KLO,2.0121E+11,,,,,,,,8,30000
KLO,2.0121E+11,16.5,1014.2,67.8,10.5,244,10,19.1,8,
KLO,2.0121E+11,,,,,,,,8,
KLO,2.0121E+11,,,,,,,,8,30000
KLO,2.0121E+11,,,,,,,,8,
KLO,2.0121E+11,,,,,,,,8,
KLO,2.0121E+11,,,,,,,,8,12000
KLO,2.0121E+11,16.6,1014.3,67,10.5,242,14,25.2,8,
KLO,2.0121E+11,,,,,,,,8,
KLO,2.0121E+11,,,,,,,,8,12000
KLO,2.0121E+11,,,,,,,,8,
KLO,2.0121E+11,,,,,,,,8,
KLO,2.0121E+11,,,,,,,,8,8000
KLO,2.0121E+11,15.7,1015.1,76.1,11.5,258,9,16.2,8,
KLO,2.0121E+11,,,,,,,,8,
KLO,2.0121E+11,,,,,,,,7,8000
KLO,2.0121E+11,,,,,,,,8,
KLO,2.0121E+11,,,,,,,,8,
KLO,2.0121E+11,,,,,,,,8,8000
KLO,2.0121E+11,14.8,1016.4,84.3,12.1,292,4,6.8,8,
KLO,2.0121E+11,,,,,,,,8,
KLO,2.0121E+11,,,,,,,,8,7000
KLO,2.0121E+11,,,,,,,,8,
KLO,2.0121E+11,,,,,,,,8,
KLO,2.0121E+11,,,,,,,,8,15000
KLO,2.0121E+11,14.5,1017.5,81.9,11.5,258,6,10.8,8,
KLO,2.0121E+11,,,,,,,,8,
KLO,2.0121E+11,,,,,,,,8,15000
KLO,2.0121E+11,,,,,,,,8,
KLO,2.0121E+11,,,,,,,,8,
KLO,2.0121E+11,,,,,,,,8,15000
KLO,2.0121E+11,13.9,1018.7,84.7,11.4,287,6,10.8,8,
KLO,2.0121E+11,,,,,,,,8,
KLO,2.0121E+11,,,,,,,,7,25000
